ATTA Num Succ,ATTA Num Fail,Random Num Succ,Random Num Fail,Tsarouchi Num Succ,Tsarouchi Num Fail,ATTA H Num Tasks,ATTA R Num Tasks,Random H Num Tasks,Random R Num Tasks,Tsarouchi H Num Tasks,Tsarouchi R Num Tasks,Tsarouchi Discarded Num Tasks,Tsarouchi Discarded Num to H,Tsarouchi Discarded Num to R,ATTA H Num Succ,ATTA H Num Fail,ATTA R Num Succ,ATTA R Num Fail,Random H Num Succ,Random H Num Fail,Random R Num Succ,Random R Num Fail,Tsarouchi H Num Succ,Tsarouchi H Num Fail,Tsarouchi H Num Fail + Discarded,Tsarouchi R Num Succ,Tsarouchi R Num Fail,Tsarouchi R Num Fail + Discarded
410,90,341,159,410,90,129,371,236,264,165,335,75,37,38,123,6,287,84,189,47,152,112,124,4,41,286,11,49
392,108,326,174,396,104,126,374,242,258,168,332,97,43,54,122,4,270,104,180,62,146,112,122,3,46,274,4,58
395,105,332,168,397,103,125,375,231,269,168,332,87,43,44,118,7,277,98,175,56,157,112,119,6,49,278,10,54
397,103,311,189,388,112,151,349,253,247,197,303,95,47,48,145,6,252,97,186,67,125,122,144,6,53,244,11,59
400,100,337,163,393,107,123,377,249,251,168,332,91,46,45,120,3,280,97,185,64,152,99,113,9,55,280,7,52
405,95,335,165,403,97,133,367,235,265,172,328,83,40,43,127,6,278,89,171,64,164,101,127,5,45,276,9,52
392,108,330,170,387,113,123,377,229,271,174,326,98,53,45,119,4,273,104,173,56,157,114,116,5,58,271,10,55
384,116,319,181,387,113,115,385,255,245,162,338,97,48,49,111,4,273,112,188,67,131,114,109,5,53,278,11,60
410,90,357,143,401,99,120,380,252,248,156,344,84,38,46,113,7,297,83,204,48,153,95,113,5,43,288,10,56
399,101,328,172,394,106,125,375,254,246,170,330,93,46,47,123,2,276,99,188,66,140,106,121,3,49,273,10,57
